Seconds,Speed (MPH),Steering Angle,Throttle Position,Engine RPM,Lateral Gs,Acceleration Gs
694.308316,61.563,-0.3,13,2146,0,-0.02
694.393353,61.51,-0.3,13,2145,0,-0.02
694.493353,61.448,-0.3,13,2144,0,-0.02
694.550016,61.412,-0.3,13,2144,0,-0.02
694.593353,61.385,-0.3,12,2143,0,-0.02
694.693353,61.323,-0.3,11,2143,-0.01,-0.03
694.793353,61.26,-0.4,10,2142,-0.01,-0.03
694.809272,61.25,-0.4,10,2141,-0.01,-0.03
694.893353,61.198,-0.4,9,2141,-0.01,-0.03
694.993353,61.136,-0.4,8,2140,-0.01,-0.03
695.093353,61.074,-0.4,6,2139,-0.01,-0.03
695.193353,61.012,-0.4,5,2138,-0.01,-0.03
695.209401,61.002,-0.4,5,2138,-0.01,-0.03
695.21498,60.999,-0.4,5,2138,-0.01,-0.03
695.293353,60.95,-0.4,4,2137,-0.01,-0.03
695.310187,60.94,-0.4,4,2137,-0.01,-0.03
695.393353,60.888,-0.4,3,2134,-0.01,-0.03
695.493353,60.826,-0.4,1,2130,-0.01,-0.03
695.593353,60.764,-0.4,0,2127,-0.01,-0.03
695.613832,60.752,-0.4,0,2126,-0.01,-0.03
695.693353,60.702,-0.4,0,2123,-0.01,-0.04
695.793353,60.64,-0.4,0,2120,-0.01,-0.04
695.818296,60.625,-0.4,0,2119,-0.01,-0.04
695.893353,60.582,-0.4,0,2116,-0.01,-0.04
695.993353,60.525,-0.4,0,2112,-0.01,-0.04
696.093353,60.468,-0.4,0,2109,-0.01,-0.04
696.193353,60.41,-0.4,0,2105,-0.01,-0.04
696.21591,60.397,-0.4,0,2104,-0.01,-0.04
696.220657,60.395,-0.4,0,2104,-0.01,-0.04
696.293354,60.353,-0.4,0,2102,-0.01,-0.04
696.31257,60.342,-0.4,0,2101,-0.01,-0.04
696.393354,60.296,-0.4,0,2099,-0.01,-0.04
696.493354,60.239,-0.3,0,2096,-0.01,-0.04
696.593354,60.182,-0.3,0,2093,-0.01,-0.04
696.693354,60.124,-0.3,0,2090,-0.01,-0.04
696.793354,60.067,-0.3,0,2087,-0.01,-0.04
696.893354,60.01,-0.3,0,2084,-0.01,-0.04
696.91063,60,-0.3,0,2083,-0.01,-0.04
696.993354,59.906,-0.3,0,2081,-0.01,-0.04
697.093354,59.792,-0.2,0,2078,-0.02,-0.04
697.193354,59.679,-0.2,0,2075,-0.02,-0.04
697.256841,59.606,-0.2,0,2073,-0.02,-0.04
697.293354,59.565,-0.2,0,2072,-0.02,-0.04
697.309495,59.546,-0.2,0,2071,-0.02,-0.04
697.354283,59.496,-0.2,0,2070,-0.02,-0.04
697.393354,59.451,-0.2,0,2069,-0.02,-0.04
697.493354,59.337,-0.1,0,2065,-0.02,-0.04
697.593354,59.224,-0.1,0,2061,-0.02,-0.04
697.693354,59.11,-0.1,0,2057,-0.02,-0.04
697.793354,58.996,-0.1,0,2053,-0.02,-0.04
697.893354,58.883,0,0,2050,-0.02,-0.04
697.993354,58.769,0,0,2046,-0.02,-0.04
698.009999,58.75,0,0,2045,-0.02,-0.04
698.093354,58.698,0,0,2042,-0.02,-0.04
698.193354,58.635,0.1,0,2038,-0.02,-0.05
698.255113,58.597,0.1,0,2036,-0.02,-0.05
698.293354,58.573,0.1,0,2034,-0.02,-0.05
698.310746,58.562,0.1,0,2034,-0.02,-0.05
698.355705,58.534,0.1,0,2032,-0.02,-0.05
698.393354,58.51,0,0,2031,-0.02,-0.05
698.493354,58.448,0,0,2027,-0.02,-0.05
698.593354,58.386,-0.1,0,2023,-0.01,-0.05
698.693354,58.323,-0.2,0,2020,-0.01,-0.05
698.793354,58.261,-0.3,0,2016,-0.01,-0.05
698.893354,58.198,-0.3,0,2012,-0.01,-0.05
698.993354,58.136,-0.4,0,2008,0,-0.06
699.010285,58.125,-0.4,0,2008,0,-0.06
699.093354,58.021,-0.5,0,2005,0,-0.06
699.193354,57.896,-0.6,0,2001,0,-0.06
699.255971,57.818,-0.6,0,1999,0,-0.06
699.293354,57.771,-0.6,0,1997,0,-0.06
699.355413,57.694,-0.7,0,1995,0,-0.06
699.378774,57.664,-0.7,0,1994,0,-0.06
699.393354,57.646,-0.7,0,1994,0,-0.06
699.493354,57.521,-0.7,0,1990,0,-0.06
699.593354,57.396,-0.7,0,1987,0,-0.06
699.693354,57.271,-0.7,0,1984,-0.01,-0.06
699.793354,57.146,-0.7,0,1981,-0.01,-0.06
699.893354,57.021,-0.8,0,1977,-0.01,-0.06
699.993354,56.896,-0.8,0,1974,-0.01,-0.06
700.010094,56.875,-0.8,0,1973,-0.01,-0.06
700.093354,56.771,-0.8,0,1971,-0.01,-0.07
700.193354,56.645,-0.8,0,1967,-0.01,-0.07
700.255246,56.568,-0.8,0,1965,-0.01,-0.07
700.293354,56.52,-0.8,0,1964,-0.01,-0.07
700.35536,56.442,-0.8,1,1962,-0.01,-0.07
700.379182,56.413,-0.8,1,1961,-0.02,-0.07
700.393354,56.395,-0.8,1,1961,-0.02,-0.07
700.493355,56.269,-0.7,1,1958,-0.02,-0.07
700.593355,56.144,-0.5,1,1954,-0.02,-0.07
700.693355,56.019,-0.4,1,1951,-0.02,-0.07
700.793355,55.894,-0.3,1,1948,-0.02,-0.07
700.893355,55.768,-0.2,1,1945,-0.02,-0.07
700.993355,55.643,-0.1,1,1941,-0.02,-0.07
701.00773,55.625,0,1,1941,-0.02,-0.07
701.093355,55.572,0.1,1,1938,-0.02,-0.07
701.193355,55.509,0.2,1,1935,-0.02,-0.07
701.256192,55.47,0.3,1,1933,-0.02,-0.07
701.293355,55.447,0.3,1,1932,-0.02,-0.07
701.379478,55.393,0.4,1,1929,-0.02,-0.07
701.393355,55.384,0.4,1,1929,-0.02,-0.07
701.410789,55.374,0.4,1,1928,-0.02,-0.07
701.493355,55.322,0.3,1,1925,-0.02,-0.07
701.593355,55.26,0.1,1,1920,-0.02,-0.07
701.693355,55.197,0,1,1916,-0.02,-0.07
701.793355,55.135,-0.1,1,1912,-0.02,-0.07
701.893355,55.073,-0.3,1,1908,-0.02,-0.07
701.993355,55.01,-0.4,1,1904,-0.02,-0.06
702.00971,55,-0.4,1,1903,-0.02,-0.06
702.093355,54.895,-0.5,1,1899,-0.02,-0.06
702.193355,54.77,-0.7,1,1895,-0.02,-0.06
702.256009,54.692,-0.7,1,1892,-0.02,-0.06
702.293355,54.646,-0.8,1,1891,-0.02,-0.06
702.378997,54.538,-0.9,1,1887,-0.01,-0.06
702.393355,54.521,-1,1,1887,-0.01,-0.06
702.409866,54.5,-1,1,1886,-0.01,-0.06
702.493355,54.396,-1.3,1,1881,0,-0.06
702.593355,54.271,-1.7,1,1876,0.01,-0.07
702.693355,54.146,-2,1,1871,0.02,-0.07
702.793355,54.021,-2.4,1,1865,0.03,-0.07
702.893355,53.896,-2.7,1,1860,0.03,-0.07
702.993355,53.771,-3.1,1,1854,0.04,-0.07
703.009894,53.75,-3.1,1,1854,0.04,-0.07
703.093355,53.594,-3.4,1,1849,0.05,-0.07
703.193355,53.406,-3.8,1,1844,0.06,-0.07
703.254916,53.291,-4,1,1840,0.07,-0.07
703.293355,53.219,-4.1,1,1838,0.07,-0.07
703.378947,53.058,-4.4,1,1834,0.07,-0.07
703.393355,53.031,-4.4,1,1833,0.07,-0.07
703.409949,53,-4.3,1,1832,0.07,-0.07
703.493355,52.844,-4.2,1,1829,0.07,-0.07
703.593355,52.656,-4,1,1826,0.07,-0.07
703.693355,52.469,-3.9,1,1822,0.07,-0.06
703.793355,52.282,-3.7,1,1819,0.07,-0.06
703.893355,52.094,-3.5,1,1815,0.07,-0.06
703.993355,51.907,-3.3,1,1812,0.07,-0.06
704.01023,51.875,-3.3,1,1811,0.08,-0.06
704.093355,51.823,-3.2,1,1808,0.08,-0.06
704.193355,51.761,-3,1,1805,0.08,-0.06
704.260978,51.718,-2.9,1,1802,0.08,-0.06
704.293355,51.698,-2.8,1,1801,0.08,-0.06
704.393355,51.636,-2.6,1,1798,0.07,-0.06
704.412325,51.624,-2.6,1,1797,0.07,-0.06
704.41238,51.624,-2.6,1,1797,0.07,-0.06
704.493355,51.573,-2.5,1,1794,0.06,-0.06
704.593355,51.511,-2.3,1,1790,0.05,-0.06
704.693356,51.448,-2.2,1,1787,0.04,-0.06
704.793356,51.386,-2,1,1783,0.03,-0.06
704.893356,51.324,-1.8,1,1779,0.03,-0.06
704.993356,51.261,-1.7,1,1776,0.02,-0.06
705.011087,51.25,-1.6,1,1775,0.02,-0.06
705.093356,51.096,-1.5,1,1772,0.01,-0.06
705.193356,50.909,-1.4,1,1768,0,-0.06
705.293356,50.722,-1.2,1,1765,-0.01,-0.06
705.310506,50.69,-1.2,1,1764,-0.01,-0.06
705.393356,50.535,-1,1,1761,-0.01,-0.06
705.412575,50.499,-1,1,1760,-0.01,-0.06
705.422205,50.481,-1,1,1760,-0.01,-0.06
705.493356,50.347,-0.9,1,1755,-0.02,-0.07
705.593356,50.16,-0.8,1,1748,-0.02,-0.07
705.693356,49.973,-0.6,1,1741,-0.02,-0.07
705.793356,49.786,-0.5,1,1734,-0.02,-0.07
705.893356,49.599,-0.4,1,1727,-0.03,-0.07
705.993356,49.411,-0.2,1,1720,-0.03,-0.07
706.012847,49.375,-0.2,1,1719,-0.03,-0.07
706.093356,49.224,-0.1,1,1713,-0.03,-0.08
706.193356,49.037,0,1,1706,-0.04,-0.08
706.293356,48.85,0.1,1,1699,-0.04,-0.08
706.393356,48.663,0.3,1,1692,-0.04,-0.08
706.414349,48.624,0.3,1,1691,-0.04,-0.08
706.414484,48.623,0.3,1,1691,-0.04,-0.08
706.493356,48.476,0.5,1,1710,-0.04,-0.08
706.593356,48.289,0.8,1,1733,-0.05,-0.08
706.693356,48.101,1.2,1,1757,-0.05,-0.09
706.793356,47.914,1.5,1,1781,-0.05,-0.09
706.893356,47.727,1.8,1,1804,-0.06,-0.09
706.993356,47.54,2.1,1,1828,-0.06,-0.09
707.014755,47.5,2.1,1,1833,-0.06,-0.09
707.093356,47.352,2.4,1,1852,-0.06,-0.09
707.193356,47.164,2.7,1,1876,-0.06,-0.09
707.293356,46.975,3,1,1899,-0.07,-0.09
707.315197,46.934,3,1,1904,-0.07,-0.09
707.393356,46.787,3.3,1,1923,-0.07,-0.09
707.431234,46.716,3.4,1,1932,-0.06,-0.09
707.431353,46.715,3.4,1,1932,-0.06,-0.09
707.493356,46.599,3.3,1,1927,-0.06,-0.09
707.593356,46.41,3.1,1,1919,-0.06,-0.09
707.693356,46.222,2.9,1,1910,-0.06,-0.08
707.793356,46.033,2.7,1,1902,-0.06,-0.08
707.893356,45.845,2.5,1,1894,-0.05,-0.08
707.993356,45.657,2.4,1,1885,-0.05,-0.07
708.010206,45.625,2.3,1,1884,-0.05,-0.07
708.093356,45.484,2.2,1,1877,-0.05,-0.07
708.193356,45.314,2,1,1869,-0.05,-0.07
708.293356,45.144,1.8,1,1860,-0.04,-0.07
708.356779,45.036,1.7,1,1855,-0.04,-0.06
708.393356,44.973,1.6,1,1852,-0.04,-0.06
